month_year,location,Drone_Count,location,Fatality_Count
2023-11,Kyiv oblast,1,,1
2023-11,Kyiv oblast and Poltava oblast and Cherkasy oblast,1,,1
2023-11,Sumy oblast,1,,1
2023-11,Ukraine,16,,1
2023-11,east,1,,1
2023-12,Dnipropetrovsk oblast,1,,1
2023-12,Dnipropetrovsk oblast and Zaporizhzhia oblast and Kirovohrad oblast,1,,1
2023-12,"Dnipropetrovsk oblast, Pavlohrad Raion",1,,1
2023-12,Khmelnytskyi oblast,1,,8
2023-12,Mykolaiv oblast and Kherson oblast and Dnipropetrovsk oblast and Zaporizhzhia oblast,1,,1
2023-12,Odesa oblast,1,,1
2023-12,Odesa oblast and Mykolaiv oblast and Khmelnytskyi oblast,2,,1
2023-12,Ukraine,17,,3
2023-12,Zaporizhzhia oblast,1,,1
2023-12,east,1,,1
2023-12,south,4,,1
2024-01,Kherson oblast,1,,1
2024-01,Khmelnytskyi oblast,1,,1
2024-01,Kirovohrad oblast,1,,1
2024-01,Mykolaiv oblast,1,,1
2024-01,Ukraine,11,,1
2024-01,east,1,,1
2024-01,north,1,,1
2024-01,south,1,,1
2024-01,south and east,1,,1
2024-01,south and north,1,,1
2024-02,Kharkiv oblast,2,,1
2024-02,Ukraine,19,,1
2024-03,Dnipropetrovsk oblast,1,,1
2024-03,"Dnipropetrovsk oblast, Dnipro Raion",1,,1
2024-03,Kharkiv oblast,2,,1
2024-03,Kharkiv oblast and Kyiv oblast and Sumy oblast,1,,1
2024-03,Mykolaiv oblast,1,,6
2024-03,Odesa oblast,3,,1
2024-03,Odesa oblast and Mykolaiv oblast,1,,1
2024-03,Ukraine,11,,1
2024-03,east,3,,1
2024-03,south,3,,1
2024-03,south and east,2,,9
2024-04,Dnipropetrovsk oblast,1,,1
2024-04,"Dnipropetrovsk oblast, Dnipro Raion",3,,1
2024-04,"Dnipropetrovsk oblast, Kryvyi Rih Raion",1,,1
2024-04,Kharkiv oblast,4,,1
2024-04,Mykolaiv oblast,1,,1
2024-04,Odesa oblast,1,,1
2024-04,Ukraine,12,,1
2024-04,south,1,,1
2024-05,Dnipropetrovsk oblast,1,,1
2024-05,Kharkiv oblast,2,,1
2024-05,Kharkiv oblast and Dnipropetrovsk oblast,1,,1
2024-05,Kherson oblast,4,,1
2024-05,Kirovohrad oblast,1,,1
2024-05,Odesa oblast,2,,1
2024-05,Sumy oblast,1,,1
2024-05,Ukraine,13,,1
2024-05,Zaporizhzhia oblast,1,,2
2024-05,east,1,,1
2024-05,south,1,,1
2024-06,Chernihiv oblast,1,,1
2024-06,"Dnipropetrovsk oblast, Pavlohrad Raion",1,,1
2024-06,Kharkiv oblast,4,,1
2024-06,Kharkiv oblast and Poltava oblast,1,,1
2024-06,Kherson oblast,4,,11
2024-06,Ukraine,14,,1
2024-07,Dnipropetrovsk oblast,2,,1
2024-07,Kyiv oblast,1,,1
2024-07,Odesa oblast,2,,1
2024-07,Sumy oblast,1,,5
2024-07,Ukraine,18,,1
2024-07,east,4,,1
2024-07,south,1,,1
2024-08,Kharkiv oblast,1,,1
2024-08,Mykolaiv oblast,1,,1
2024-08,Ukraine,25,,1
2024-08,east,1,,1
2024-08,south,2,,1
2024-09,Sumy oblast,2,,1
2024-09,Ukraine,28,,10
2024-09,north and center,1,,1
2024-09,south,1,,1
2024-10,Kyiv oblast and Odesa oblast,2,,1
2024-10,Ukraine,29,,1
2024-10,south,1,,1
2024-11,Odesa oblast,2,,1
2024-11,Ukraine,26,,1
2024-11,south,1,,4
2024-12,Mykolaiv oblast,2,,1
2024-12,Ukraine,25,,1
2025-01,Ukraine,33,,1
2025-02,Mykolaiv oblast,1,,1
2025-02,Ukraine,28,,1
2025-03,Ukraine,30,,1
2025-03,south,8,,1
2025-04,Ukraine,29,,1
2025-04,south,17,,17
2025-05,Ukraine,29,,1
2025-05,south,14,,1
2025-06,Odesa oblast,1,,1
2025-06,Ukraine,29,,1
2025-06,south,22,,1
2025-07,Ukraine,31,,1
2025-07,south,43,,1
2025-08,Ukraine,31,,1
2025-08,south,45,,1
2025-09,Ukraine,31,,1
2025-09,south,43,,1
2025-10,Ukraine,31,,12
2025-10,south,34,,1
2025-11,Ukraine,29,,1
2025-11,south,29,,1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,680
